,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
11,,2020-09-23 20:05:26,2020-09-21,PNRG,Wehrle Gaines,"Former Director, 10%",S - Sale,69.08,-1000,238832,0%,-69084.0,,,,,PNRG
12,,2020-09-23 17:02:16,2020-09-18,PNRG,Hurt Clint,Dir,S - Sale,75.0,-298,180149,0%,-22350.0,,,,,PNRG
13,M,2020-09-18 19:40:21,2020-09-16,PNRG,Wehrle Gaines,"Former Director, 10%",S - Sale,70.7,-1668,239832,-1%,-117933.0,,,,,PNRG
14,M,2020-02-21 16:18:39,2020-02-19,PNRG,De Rothschild Robert,10%,S - Sale,139.78,-900,387696,0%,-125800.0,,,,,PNRG
15,,2020-02-14 17:00:41,2019-08-23,PNRG,De Rothschild Robert,10%,P - Purchase,116.22,250,388846,0%,29055.0,,,,,PNRG
16,M,2020-02-14 17:00:41,2020-02-06,PNRG,De Rothschild Robert,10%,S - Sale,144.43,-2826,388846,-1%,-408166.0,,,,,PNRG
17,DM,2020-01-27 14:15:26,2020-01-23,PNRG,Drimal Charles E Jr,"CEO, 10%",S - Sale+OE,150.58,-1144,520645,0%,-172264.0,,,,,PNRG
18,D,2020-01-13 18:06:24,2020-01-10,PNRG,Drimal Charles E Jr,"CEO, 10%",S - Sale+OE,151.0,-100,521789,0%,-15100.0,,,,,PNRG
19,D,2020-01-07 16:39:02,2020-01-03,PNRG,Drimal Charles E Jr,"CEO, 10%",S - Sale+OE,151.02,-1362,521889,0%,-205683.0,,,,,PNRG
20,DM,2020-01-02 17:38:08,2019-12-31,PNRG,Drimal Charles E Jr,"CEO, 10%",S - Sale+OE,150.32,-500,523251,0%,-75158.0,,,,,PNRG
21,D,2019-12-27 12:21:50,2019-12-24,PNRG,Drimal Charles E Jr,"CEO, 10%",S - Sale+OE,151.5,-3,523751,0%,-455.0,,,,,PNRG
22,D,2019-12-20 18:56:12,2019-12-19,PNRG,Drimal Charles E Jr,"CEO, 10%",S - Sale+OE,151.32,-1500,523754,0%,-226975.0,,,,,PNRG
23,,2019-12-20 16:24:15,2019-12-18,PNRG,Hurt Clint,Dir,S - Sale,152.69,-1709,180447,-1%,-260947.0,,,,,PNRG
24,,2019-12-18 18:32:19,2019-12-16,PNRG,Hurt Clint,Dir,S - Sale,152.01,-1134,182156,-1%,-172379.0,,,,,PNRG
25,M,2019-12-13 14:09:07,2019-12-11,PNRG,Hurt Clint,Dir,S - Sale,153.42,-568,183290,0%,-87142.0,,,,,PNRG
26,M,2019-12-11 15:01:34,2019-12-09,PNRG,Hurt Clint,Dir,S - Sale,152.53,-351,183858,0%,-53537.0,,,,,PNRG
27,,2019-12-11 13:04:37,2019-12-06,PNRG,Hurt Clint,Dir,S - Sale,152.95,-7379,184209,-4%,-1128618.0,,,,,PNRG
28,,2019-12-02 14:52:15,2019-11-27,PNRG,Hurt Clint,Dir,S - Sale,150.28,-636,191588,0%,-95578.0,,,,,PNRG
29,M,2019-11-27 13:08:52,2019-11-25,PNRG,Hurt Clint,Dir,S - Sale,150.21,-1092,192224,-1%,-164032.0,,,,,PNRG
30,,2019-11-25 15:52:32,2019-11-22,PNRG,Hurt Clint,Dir,S - Sale,150.7,-621,193316,0%,-93585.0,,,,,PNRG
31,,2019-11-22 15:57:16,2019-11-20,PNRG,Hurt Clint,Dir,S - Sale,150.92,-1779,193937,-1%,-268480.0,,,,,PNRG
32,,2019-11-15 16:16:44,2019-11-13,PNRG,Hurt Clint,Dir,S - Sale,160.18,-5,196,-2%,-742.0,,,,,PNRG
33,,2019-07-05 13:35:10,2019-07-02,PNRG,Hurt Clint,Dir,S - Sale,130.0,-1203,200347,-1%,-156390.0,,,,,PNRG
