,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
15,,2021-11-17 16:10:23,2021-11-16,UEPS,Meyer Christopher G.B.,Group CEO,P - Purchase,$5.62,104520,534596,+24%,"+$587,402",,,,,UEPS
16,M,2021-11-15 16:18:12,2021-11-11,UEPS,Meyer Christopher G.B.,Group CEO,P - Purchase,$5.53,7514,256221,+3%,"+$41,560",,,,,UEPS
17,,2021-03-31 16:07:11,2021-03-29,UEPS,Pillay Nunthakumarin,MD: S.Africa,S - Sale,$5.56,-17667,164000,-10%,"-$98,229",,,,,UEPS
18,M,2021-03-26 16:46:37,2021-03-24,UEPS,Nkosi Monde,Dir,P - Purchase,$5.49,160516,12425670,+1%,"+$880,524",,,,,UEPS
19,M,2021-03-26 16:45:56,2021-03-24,UEPS,Ball Antony C,Dir,P - Purchase,$5.49,160516,12425670,+1%,"+$880,524",,,,,UEPS
20,M,2021-03-26 16:45:13,2021-03-24,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$5.49,160516,12425670,+1%,"+$880,524",,,,,UEPS
21,,2021-02-17 12:41:39,2021-02-11,UEPS,Nkosi Monde,Dir,P - Purchase,$4.99,30291,12265154,0%,"+$151,152",,,,,UEPS
22,,2021-02-17 12:39:09,2021-02-11,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$4.99,30291,12265154,0%,"+$151,152",,,,,UEPS
23,,2021-02-17 12:35:30,2021-02-11,UEPS,Ball Antony C,Dir,P - Purchase,$4.99,30291,12265154,0%,"+$151,152",,,,,UEPS
24,,2021-02-12 09:04:38,2021-02-10,UEPS,Mabuza Jabulane Albert,Dir,P - Purchase,$4.88,9859,79303,+14%,"+$48,112",,,,,UEPS
25,,2020-12-22 15:07:37,2020-12-18,UEPS,Nkosi Monde,Dir,P - Purchase,$3.97,279728,12234863,+2%,"+$1,110,520",,,,,UEPS
26,,2020-12-22 15:03:57,2020-12-18,UEPS,Ball Antony C,Dir,P - Purchase,$3.97,279728,12234863,+2%,"+$1,110,520",,,,,UEPS
27,,2020-12-22 14:59:55,2020-12-18,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.97,279728,12234863,+2%,"+$1,110,520",,,,,UEPS
28,M,2020-12-18 16:54:03,2020-12-14,UEPS,Ball Antony C,Dir,P - Purchase,$3.56,692088,11955135,+6%,"+$2,465,303",,,,,UEPS
29,M,2020-12-18 16:53:47,2020-12-14,UEPS,Nkosi Monde,Dir,P - Purchase,$3.56,692088,11955135,+6%,"+$2,465,303",,,,,UEPS
30,M,2020-12-18 16:53:34,2020-12-14,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.56,692088,11955135,+6%,"+$2,465,303",,,,,UEPS
31,M,2020-12-16 18:30:52,2020-12-14,UEPS,Ball Antony C,Dir,P - Purchase,$3.48,108104,11263047,+1%,"+$376,100",,,,,UEPS
32,M,2020-12-16 18:28:40,2020-12-14,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.48,108104,11263047,+1%,"+$376,100",,,,,UEPS
33,M,2020-12-16 18:26:21,2020-12-14,UEPS,Nkosi Monde,Dir,P - Purchase,$3.48,108104,11263047,+1%,"+$376,100",,,,,UEPS
34,,2020-11-27 17:16:07,2020-11-24,UEPS,Ball Antony C,Dir,P - Purchase,$3.39,88911,11154943,+1%,"+$301,408",,,,,UEPS
35,,2020-11-27 17:15:37,2020-11-24,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.39,88911,11154943,+1%,"+$301,408",,,,,UEPS
36,,2020-11-24 16:46:15,2020-11-20,UEPS,Ball Antony C,Dir,P - Purchase,$3.40,7000,11066032,0%,"+$23,800",,,,,UEPS
37,,2020-11-24 16:45:38,2020-11-20,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.40,7000,11066032,0%,"+$23,800",,,,,UEPS
38,M,2020-11-20 17:21:06,2020-11-18,UEPS,Ball Antony C,Dir,P - Purchase,$3.38,135574,11059032,+1%,"+$458,186",,,,,UEPS
39,M,2020-11-20 17:20:33,2020-11-18,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.38,135574,11059032,+1%,"+$458,186",,,,,UEPS
40,M,2020-11-18 17:17:35,2020-11-16,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.37,185148,10923458,+2%,"+$624,686",,,,,UEPS
41,M,2020-11-18 17:07:32,2020-11-16,UEPS,Ball Antony C,Dir,P - Purchase,$3.37,185148,10923458,+2%,"+$624,686",,,,,UEPS
42,,2020-11-12 16:45:45,2020-11-10,UEPS,Ball Antony C,Dir,P - Purchase,$3.12,583345,10738310,+6%,"+$1,820,036",,,,,UEPS
43,,2020-11-12 16:45:27,2020-11-10,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.12,583345,10738310,+6%,"+$1,820,036",,,,,UEPS
44,,2020-10-05 17:00:48,2020-10-02,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.43,20909,10154965,0%,"+$71,718",,,,,UEPS
45,,2020-10-05 17:00:25,2020-10-02,UEPS,Ball Antony C,Dir,P - Purchase,$3.43,20909,10154965,0%,"+$71,718",,,,,UEPS
46,M,2020-10-02 17:00:30,2020-09-30,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.44,350024,10134056,+4%,"+$1,204,813",,,,,UEPS
47,M,2020-10-02 16:53:58,2020-09-30,UEPS,Ball Antony C,Dir,P - Purchase,$3.44,350024,10134056,+4%,"+$1,204,813",,,,,UEPS
48,M,2020-09-30 16:16:09,2020-09-28,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.35,231032,9784032,+2%,"+$774,725",,,,,UEPS
49,M,2020-09-30 16:15:31,2020-09-28,UEPS,Ball Antony C,Dir,P - Purchase,$3.35,231032,9784032,+2%,"+$774,725",,,,,UEPS
50,M,2020-09-28 19:01:57,2020-09-24,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.16,236659,9553000,+3%,"+$747,709",,,,,UEPS
51,M,2020-09-28 19:00:58,2020-09-24,UEPS,Ball Antony C,Dir,P - Purchase,$3.16,236659,9553000,+3%,"+$747,709",,,,,UEPS
52,M,2020-09-24 18:28:29,2020-09-22,UEPS,Ball Antony C,Dir,P - Purchase,$3.13,49444,9316341,+1%,"+$154,760",,,,,UEPS
53,M,2020-09-24 18:24:43,2020-09-22,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$3.13,49444,9316341,+1%,"+$154,760",,,,,UEPS
54,,2020-09-18 09:00:50,2020-09-16,UEPS,Singh-Bushell Ekta,Dir,P - Purchase,$3.00,5000,7000,+250%,"+$15,000",,,,,UEPS
55,,2020-05-20 17:10:29,2020-05-19,UEPS,Value Capital Partners (Pty) Ltd,10%,P - Purchase,$4.00,2103069,9266897,+29%,"+$8,412,276",,,,,UEPS
56,,2020-04-27 17:17:30,2020-04-23,UEPS,Value Capital Partners (Pty) Ltd,10%,S - Sale,$3.50,-426122,7163828,-6%,"-$1,491,427",,,,,UEPS
57,,2020-04-17 16:22:19,2020-04-15,UEPS,"International Value Advisers, LLC",10%,S - Sale,$3.46,-4398424,0,-100%,"-$15,239,004",,,,,UEPS
58,M,2020-04-09 15:02:54,2020-04-07,UEPS,"International Value Advisers, LLC",10%,S - Sale,$3.20,-217624,2923311,-7%,"-$696,948",,,,,UEPS
59,,2020-04-03 16:02:39,2020-04-01,UEPS,"International Value Advisers, LLC",10%,S - Sale,$3.25,-19000,2940102,-1%,"-$61,750",,,,,UEPS
60,,2020-04-01 16:10:26,2020-03-30,UEPS,"International Value Advisers, LLC",10%,S - Sale,$3.23,-49598,1774561,-3%,"-$160,202",,,,,UEPS
61,M,2020-03-30 16:02:43,2020-03-26,UEPS,"International Value Advisers, LLC",10%,S - Sale,$3.23,-438745,1824159,-19%,"-$1,416,555",,,,,UEPS
62,M,2020-03-26 16:21:33,2020-03-24,UEPS,"International Value Advisers, LLC",10%,S - Sale,$3.10,-65367,2262904,-3%,"-$202,685",,,,,UEPS
63,M,2020-03-24 16:01:30,2020-03-20,UEPS,"International Value Advisers, LLC",10%,S - Sale,$3.13,-14113,241644,-6%,"-$44,244",,,,,UEPS
64,,2018-12-07 16:41:03,2018-12-06,UEPS,Singh-Bushell Ekta,Dir,P - Purchase,$5.00,2000,2000,New,"+$10,000",,,,,UEPS
65,,2018-11-14 16:11:47,2018-11-13,UEPS,Edwards Paul,Dir,P - Purchase,$4.53,10000,27822,+56%,"+$45,300",,,,,UEPS
66,,2018-11-14 16:10:40,2018-11-13,UEPS,Pein Alasdair Jonathan Kemsley,Dir,P - Purchase,$4.53,6000,57379,+12%,"+$27,180",,,,,UEPS
67,M,2018-09-27 09:15:28,2018-09-25,UEPS,Seabrooke Christopher Stefan,Dir,P - Purchase,$7.70,22637,318124,+8%,"+$174,343",,,,,UEPS
68,,2018-09-24 09:15:49,2018-09-21,UEPS,Seabrooke Christopher Stefan,Dir,P - Purchase,$7.33,7363,295487,+3%,"+$53,971",,,,,UEPS
69,,2018-09-24 09:15:31,2018-09-21,UEPS,Edwards Paul,Dir,P - Purchase,$7.49,7000,17822,+65%,"+$52,430",,,,,UEPS
70,,2018-09-21 09:00:23,2018-09-20,UEPS,Seabrooke Christopher Stefan,Dir,P - Purchase,$7.48,20000,288124,+7%,"+$149,600",,,,,UEPS
71,,2018-09-20 09:00:21,2018-09-19,UEPS,Kotze Herman,CEO,P - Purchase,$6.74,12000,481000,+3%,"+$80,880",,,,,UEPS
72,,2018-06-29 09:08:37,2018-06-28,UEPS,Mockett Alfred T,Dir,P - Purchase,$8.70,9210,41549,+28%,"+$80,127",,,,,UEPS
73,M,2018-06-28 10:18:16,2018-06-25,UEPS,Mockett Alfred T,Dir,P - Purchase,$8.63,20790,32339,+180%,"+$179,361",,,,,UEPS
